Name,Symptoms,Treatment
Open-Angle Glaucoma,"Gradual loss of peripheral vision, tunnel vision","Treatment aims to lower intraocular pressure to slow or prevent vision loss. This may include eye drops, oral medications, laser therapy, or surgery."
Angle-Closure Glaucoma,"Severe eye pain, headache, blurred vision, halos around lights, nausea and vomiting","Emergency treatment is needed to lower intraocular pressure and alleviate symptoms. This may include medications and laser or surgical interventions."
Normal-Tension Glaucoma,"Gradual loss of vision, visual field defects","Treatment aims to lower intraocular pressure to slow or prevent vision loss. This may include eye drops, oral medications, laser therapy, or surgery."
Congenital Glaucoma,"Cloudy or hazy eyes, excessive tearing, sensitivity to light","Treatment usually involves surgery to improve drainage of the aqueous humor and lower intraocular pressure."
Secondary Glaucoma,"Varies depending on the underlying cause","Treatment depends on the underlying condition causing secondary glaucoma and may include medications, laser therapy, or surgery."
Pigmentary Glaucoma,"Blurred vision, halos around lights, eye pain","Treatment aims to lower intraocular pressure to slow or prevent vision loss. This may include eye drops, oral medications, laser therapy, or surgery."
Exfoliation Glaucoma,"Elevated intraocular pressure, visual field loss","Treatment aims to lower intraocular pressure to slow or prevent vision loss. This may include eye drops, oral medications, laser therapy, or surgery."
Ocular Hypertension,"Elevated intraocular pressure without optic nerve damage","Treatment may include close monitoring, lifestyle modifications, and medications to lower intraocular pressure."
Low-Tension Glaucoma,"Gradual loss of vision, visual field defects","Treatment aims to lower intraocular pressure to slow or prevent vision loss. This may include eye drops, oral medications, laser therapy, or surgery."
Anorexia Nervosa,"Extreme weight loss, fear of gaining weight, distorted body image","Treatment typically involves a multidisciplinary approach including medical care, nutritional rehabilitation, psychotherapy, and family therapy."
Bulimia Nervosa,"Recurrent episodes of binge eating followed by purging behaviors","Treatment may include psychotherapy, nutritional counseling, medications, and support groups."
Binge Eating Disorder,"Recurrent episodes of binge eating without compensatory behaviors","Treatment may involve psychotherapy, nutritional counseling, and support groups."
Avoidant/Restrictive Food Intake Disorder (ARFID),"Avoidance or restriction of certain foods or entire food groups, significant weight loss or failure to gain weight","Treatment may include nutritional counseling, exposure therapy, and addressing underlying psychological factors."
Other Specified Feeding or Eating Disorder (OSFED),"Symptoms that do not meet the full criteria for a specific eating disorder","Treatment is tailored to individual symptoms and may involve a combination of psychotherapy, nutritional counseling, and medication."
Orthorexia Nervosa,"Obsessive focus on ""clean"" eating, healthy food choices","Treatment may involve cognitive-behavioral therapy (CBT) to challenge rigid beliefs about food and nutrition, along with nutritional counseling."
Pica,"Persistent consumption of non-food substances","Treatment may involve addressing nutritional deficiencies, behavioral therapy, and monitoring for complications."
Rumination Disorder,"Repeated regurgitation and re-chewing of food","Treatment may include behavioral therapy, dietary changes, and addressing underlying stress or anxiety."
Transient ischemic attack,"Sudden onset of neurological symptoms that resolve within 24 hours","Immediate medical attention is crucial. Treatment may involve medications to prevent further strokes, lifestyle changes, and addressing underlying risk factors."
Pyelonephritis,"Fever, chills, back or flank pain, frequent urination","Treatment usually involves antibiotics, hydration, and pain management. In severe cases, hospitalization and intravenous antibiotics may be necessary."
Rotator Cuff Injury,"Shoulder pain, weakness or loss of strength, limited range of motion, shoulder stiffness","Treatment may include rest, physical therapy, pain management, and in some cases, surgery to repair the rotator cuff."
Fibromyalgia,"Widespread musculoskeletal pain, fatigue, sleep disturbances","Treatment often involves a combination of medications, physical therapy, exercise, stress management techniques, and lifestyle modifications."
Chronic Fatigue Syndrome,"Extreme fatigue, cognitive difficulties, unrefreshing sleep","Treatment focuses on symptom management and may include medications, cognitive-behavioral therapy (CBT), graded exercise therapy (GET), and lifestyle adjustments."
Complex Regional Pain Syndrome (CRPS),"Severe and persistent pain, changes in skin color or temperature, swelling, stiffness","Treatment may include medications, physical therapy, occupational therapy, sympathetic nerve blocks, and psychological support."
Myofascial Pain Syndrome,"Localized muscle pain, trigger points","Treatment may involve physical therapy, massage therapy, trigger point injections, medications, and stress management techniques."
Chronic Migraine,"Recurrent, disabling migraines","Treatment may include medications for acute relief and prevention, lifestyle modifications, stress management techniques, and alternative therapies such as acupuncture or biofeedback."
Neuropathic Pain,"Shooting or burning pain, tingling or numbness","Treatment may include medications, physical therapy, nerve blocks, transcutaneous electrical nerve stimulation (TENS), and complementary therapies such as acupuncture or mindfulness meditation."
Gestational Diabetes,"High blood sugar levels during pregnancy","Treatment typically involves blood sugar monitoring, diet and exercise, and in some cases, insulin therapy to keep blood sugar levels under control."
Pregnancy-Induced Hypertension,"High blood pressure during pregnancy","Treatment may involve close monitoring, lifestyle changes, and in severe cases, medication to lower blood pressure and prevent complications."
Gestational Hypertension,"High blood pressure without proteinuria (preeclampsia)","Treatment may involve close monitoring, lifestyle changes, and in some cases, medication to lower blood pressure and prevent complications."
Preeclampsia,"High blood pressure, proteinuria, swelling, headaches, visual disturbances","Immediate medical attention is necessary. Treatment may involve blood pressure management, medication to prevent seizures (if eclampsia develops), and delivery of the baby if the condition is severe."
Hyperemesis Gravidarum,"Severe nausea and vomiting during pregnancy","Treatment may include intravenous fluids, medications to alleviate nausea and vomiting, nutritional support, and in severe cases, hospitalization."
Urinary Tract Infection (UTI),"Painful urination, frequent urination, pelvic pain, cloudy urine","Treatment usually involves antibiotics to clear the infection. Drinking plenty of water and urinating frequently can also help flush out bacteria."
Anemia,"Fatigue, weakness, pale skin, shortness of breath","Treatment depends on the underlying cause of anemia and may include iron supplementation, vitamin B12 injections, medications to stimulate red blood cell production, or blood transfusions."
Pregnancy-Related Back Pain,"Lower back pain, discomfort in the pelvic area","Treatment may include prenatal exercises, physical therapy, massage therapy, proper posture techniques, and support devices such as maternity belts."
Round Ligament Pain,"Sharp or aching pain in the lower abdomen or groin","Treatment may include rest, gentle stretching exercises, heat or cold therapy, and proper body mechanics."
Placenta Previa,"Vaginal bleeding, painless bleeding in the third trimester","Treatment depends on the severity of the condition and the stage of pregnancy. It may involve bed rest, close monitoring, and delivery by cesarean section if necessary."
Carpal Tunnel Syndrome,"Tingling, numbness, and pain in the hand and fingers","Treatment may include wrist splinting, activity modification, physical therapy, corticosteroid injections, and in severe cases, surgery to relieve pressure on the median nerve."
Sciatica,"Sharp pain, tingling, or numbness that radiates from the lower back through the hips and down the leg","Treatment may include rest, physical therapy, heat or ice therapy, pain medication, corticosteroid injections, and in severe cases, surgery to relieve pressure on the sciatic nerve."
Varicose Veins,"Enlarged, swollen veins, often in the legs","Treatment options include lifestyle changes, compression stockings, exercise, elevation of the legs, and in severe cases, procedures such as sclerotherapy or vein stripping."
Hemorrhoids,"Swollen, itchy, or painful veins in the rectal area","Treatment may include over-the-counter remedies, topical treatments, lifestyle modifications, and in severe cases, procedures such as rubber band ligation or surgery."
Gestational Cholestasis,"Itchy skin, particularly on the hands and feet","Treatment may include medications to relieve itching, monitoring of liver function, and early delivery if necessary to prevent complications for the baby."
Liver Cancer,"Abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting","Treatment options may include surgery, liver transplant, chemotherapy, radiation therapy, targeted therapy, or a combination of these approaches."
Atelectasis,"Difficulty breathing, rapid breathing, chest pain","Treatment may involve deep breathing exercises, incentive spirometry, chest physiotherapy, bronchodilators, and in severe cases, mechanical ventilation."
Ectopic Pregnancy,"Vaginal bleeding, abdominal pain or cramping, shoulder pain (if the fallopian tube ruptures)","Immediate medical attention is necessary. Treatment may involve medication to dissolve the pregnancy tissue, or surgery to remove the ectopic pregnancy."
Choledocholithiasis,"Abdominal pain (often in the upper right quadrant), jaundice, dark urine, pale stools, nausea, vomiting, endoscopic retrograde cholangiopancreatography (ERCP) with stone removal, sphincterotomy, Cholecystectomy ","Treatment depends on the size and location of the stones. It may involve procedures such as ERCP with stone removal, sphincterotomy, or surgical removal of the gallbladder."
Cirrhosis,"Fatigue, jaundice, abdominal swelling (ascites), easy bruising and bleeding, confusion, loss of appetite, weight loss","Treatment focuses on managing symptoms, preventing complications, and addressing the underlying cause. This may include lifestyle changes, medications, and in severe cases, liver transplantation."
Thoracic Aortic Aneurysm,"Chest or back pain, shortness of breath, hoarseness, difficulty swallowing","Treatment depends on the size and location of the aneurysm. It may involve medications to lower blood pressure, surveillance imaging, or surgery to repair or replace the weakened portion of the aorta."
Subdural hemorrhage,"Headache, confusion, dizziness, nausea or vomiting, seizures, weakness or numbness","Treatment may involve close monitoring, medications to reduce brain swelling, surgery to drain the hematoma, and rehabilitation to address any neurological deficits."
Congenital rubella,"Developmental delays, intellectual disability, hearing loss, vision problems, heart defects, liver or spleen enlargement, rash at birth","Treatment focuses on managing symptoms and complications. This may include early intervention programs, special education, hearing aids, vision correction, and treatment of associated health issues."
Diabetic retinopathy,"Blurred or distorted vision, floaters, impaired color vision, dark or empty areas in the visual field, vision loss","Treatment may involve laser therapy, injections of medications into the eye, vitrectomy surgery, and management of underlying diabetes and other risk factors."
Fibromyalgia,"Widespread musculoskeletal pain, fatigue, sleep disturbances, cognitive difficulties (fibro fog), mood changes","Treatment often involves a combination of medications, exercise, stress management techniques, and lifestyle modifications to improve symptoms and quality of life."
Ischemia of the Bowel,"Severe abdominal pain, bloody stools, diarrhea, nausea, vomiting, fever, rapid heart rate, low blood pressure","Immediate medical attention is crucial. Treatment may involve surgery to restore blood flow to the affected area of the bowel, antibiotics, and supportive care."
Fetal Alcohol Syndrome,"Growth deficiencies, facial abnormalities, developmental delays, intellectual disability","Treatment focuses on managing symptoms and providing supportive care. This may include early intervention programs, educational support, behavioral therapy, and addressing associated health issues."
Peritonitis,"Severe abdominal pain, tenderness, bloating, fever, nausea, vomiting, loss of appetite, increased heart rate","Treatment usually involves antibiotics to control the infection, supportive care, and surgery to remove infected tissue or repair perforations."
Abdominal Injury,"Abdominal pain, tenderness, bruising, swelling, difficulty breathing, nausea, vomiting, changes in bowel movements, blood in urine or stool","Treatment depends on the nature and severity of the injury. It may involve pain management, fluid resuscitation, surgery to repair internal damage, and monitoring for complications."
Acute Pancreatitis,"Severe upper abdominal pain, nausea, vomiting, fever, rapid pulse, swollen and tender abdomen, jaundice","Treatment may include supportive care, pain management, fasting to rest the pancreas, intravenous fluids, and in severe cases, hospitalization and intensive care."
Thrombophlebitis,"Redness, warmth, swelling, and tenderness along a vein, pain or discomfort, skin discoloration, visible veins, fever","Treatment may involve anti-inflammatory medications, compression therapy, elevation of the affected limb, and in some cases, blood thinners."
Asthma,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise","Treatment usually involves medications to control inflammation and bronchodilators to relieve symptoms. Avoiding triggers and having a written asthma action plan are also important."
Restless Leg Syndrome,"Uncomfortable sensation in the legs, usually in the evening or at night, urge to move legs for relief","Treatment options include lifestyle changes, medications to alleviate symptoms, iron supplementation (if iron deficiency is present), and addressing underlying conditions."
Emphysema,"Shortness of breath, wheezing, chronic cough, chest tightness, fatigue, weight loss","Treatment focuses on symptom management and may include medications, pulmonary rehabilitation, supplemental oxygen therapy, and lifestyle changes such as smoking cessation."
Induced Abortion,"Vaginal bleeding, cramping, abdominal pain, nausea, fatigue, emotional distress","Treatment may involve counseling, support, and access to medical care as needed."
Acute Sinusitis,"Facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)","Treatment may include supportive care, such as rest and hydration, along with medications to relieve symptoms, such as decongestants, antihistamines, nasal corticosteroids, and pain relievers."
Von Hippel-Lindau Disease,"Hemangioblastomas (tumors in the brain, spinal cord, or other organs), retinal angiomas (abnormal blood vessel growth in the retina), renal cell carcinomas (kidney tumors), pheochromocytomas (adrenal gland tumors), pancreatic cysts/tumors, other tumors or cysts","Treatment depends on the location and extent of tumors or cysts. It may involve surveillance, surgical removal, radiation therapy, or other targeted treatments."
Alcohol Use Disorder,"Cravings for alcohol, inability to control or limit alcohol consumption, withdrawal symptoms (such as tremors, anxiety, sweating) when attempting to stop or reduce alcohol use, continued use despite negative consequences (such as relationship problems, health issues), neglecting responsibilities, tolerance to alcohol","Treatment may involve detoxification, counseling, support groups (such as Alcoholics Anonymous), medications to reduce cravings or block the effects of alcohol, and addressing underlying mental health issues."
Opioid Use Disorder,"Compulsive use of opioids, strong desire or cravings for opioids, inability to control or reduce opioid use, withdrawal symptoms (such as nausea, vomiting, diarrhea, muscle pain) when attempting to stop or cut back, continued use despite negative consequences (such as legal problems, relationship issues), tolerance to opioids","Treatment may involve medication-assisted treatment (such as methadone or buprenorphine), counseling, support groups (such as Narcotics Anonymous), and addressing underlying mental health issues."
Postpartum Depression,"Persistent feelings of sadness, hopelessness, irritability, anxiety, fatigue, changes in appetite or sleep, difficulty bonding with the baby, thoughts of self-harm or harming the baby","Treatment may include therapy, support groups, medications (such as antidepressants), lifestyle changes, and assistance with childcare."
Ehlers-Danlos Syndrome,"Joint hypermobility, joint instability, skin hyperextensibility, tissue fragility, easy bruising, chronic pain, fatigue, gastrointestinal issues, cardiovascular problems","Treatment focuses on managing symptoms and preventing complications. This may include physical therapy, pain management, bracing or splinting, surgery, and lifestyle modifications."
Idiopathic Thrombocytopenic Purpura,"Easy or excessive bruising, petechiae (small red or purple spots on the skin), bleeding from the gums or nose, prolonged bleeding from minor cuts or injuries","Treatment may involve medications to increase platelet production or prevent the destruction of platelets, and in some cases, removal of the spleen (splenectomy)."
Stimulant Use Disorder,"Increased energy and alertness, euphoria, decreased appetite, increased heart rate and blood pressure, insomnia, restlessness, irritability, paranoia, psychosis (in severe cases)","Treatment may involve therapy, support groups, counseling, and in some cases, medication to manage withdrawal symptoms and cravings."
Cannabis Use Disorder or substance use disorder,"Increased appetite, relaxation, altered perception of time, impaired memory and concentration, bloodshot eyes, anxiety or paranoia (in some individuals), withdrawal symptoms (such as irritability, insomnia) when attempting to stop or reduce cannabis use, continued use despite negative consequences (such as relationship problems, job difficulties)","Treatment may involve therapy, support groups, counseling, and in some cases, medication to manage withdrawal symptoms and cravings."
Benzodiazepine Use Disorder,"Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce benzodiazepine use, continued use despite negative consequences (such as relationship problems, health risks)","Treatment may involve therapy, support groups, counseling, and in some cases, medication to manage withdrawal symptoms and cravings."
Hallucinogen Use Disorder,"Altered perception of reality, visual or auditory hallucinations, changes in sensory experiences, introspective thoughts, feelings of connection or disconnection, anxiety or paranoia (in some individuals), flashbacks (in some individuals)","Treatment may involve therapy, support groups, counseling, and in some cases, medication to manage withdrawal symptoms and cravings."
Sedative Use Disorder,"Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce use, continued use despite negative consequences (such as relationship problems, health risks)","Treatment may involve therapy, support groups, counseling, and in some cases, medication to manage withdrawal symptoms and cravings."
Postpartum Depression,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby","Treatment may include therapy, support groups, medications (such as antidepressants), lifestyle changes, and assistance with childcare."
Coronary Atherosclerosis,"Chest pain or discomfort (angina), shortness of breath, fatigue, irregular heartbeat, dizziness, nausea, sweating, jaw or arm pain (in some cases), heart attack (when a coronary artery becomes completely blocked)","Treatment may involve lifestyle changes (such as diet and exercise), medications (such as statins, blood thinners), and procedures (such as angioplasty or bypass surgery) to improve blood flow to the heart."
Spondylitis,"Chronic back pain and stiffness, especially in the morning or after periods of inactivity, limited range of motion in the spine, fatigue, inflammation and pain in other joints (such as hips, shoulders, knees), discomfort or pain in the neck, difficulty maintaining proper posture, tenderness or swelling in affected areas, tingling or numbness in extremities in severe cases","Treatment may include medication to reduce inflammation and pain, physical therapy, exercise, and in some cases, surgery to correct spinal deformities or relieve pressure on nerves."
Pituitary Adenoma,"Headaches, vision problems (such as blurred vision or loss of peripheral vision), hormonal imbalances (such as excessive production or deficiency of specific hormones), fatigue, weight gain or loss, menstrual irregularities, infertility, erectile dysfunction, growth abnormalities in children, mood changes, cognitive impairments","Treatment depends on the size and location of the tumor, as well as its hormonal activity. Options may include medication to control hormone levels, surgery to remove the tumor, radiation therapy, or a combination of these approaches."
Uterine Fibroids,"Heavy or prolonged menstrual periods, pelvic pain or pressure, frequent urination, difficulty emptying the bladder, constipation, backache, leg pain, enlarged abdomen or uterus, infertility or recurrent miscarriages (in some cases)","Treatment options may include medication to relieve symptoms, hormone therapy, minimally invasive procedures (such as uterine artery embolization or focused ultrasound surgery), or surgery (such as myomectomy or hysterectomy) to remove the fibroids."
Idiopathic Nonmenstrual Bleeding,"Abnormal vaginal bleeding outside of the menstrual period, unpredictable bleeding episodes, bleeding after sexual intercourse, bleeding after menopause, spotting or light bleeding between periods, prolonged or heavy bleeding","Treatment depends on the underlying cause and severity of the bleeding. Options may include hormonal therapy, medication to control bleeding, or procedures to address any underlying conditions (such as endometrial ablation or surgery)."
Chalazion,"Painful, red lump or swelling on the eyelid, usually on the upper eyelid, sensitivity to light, blurred vision (if the chalazion affects the line of sight), mild discomfort, tenderness, localized inflammation and swelling","Treatment may involve warm compresses, gentle massage, and eyelid hygiene to promote drainage of the blocked gland. In some cases, steroid injections or surgical removal of the chalazion may be necessary."
Ovarian Torsion,"Sudden and severe abdominal or pelvic pain on one side, sharp or stabbing pain, nausea, vomiting, fever, rapid heartbeat, abdominal tenderness, bloating, swelling, pain during intercourse, abnormal bleeding or spotting","Immediate medical attention is necessary. Treatment may involve surgery to untwist the ovary and restore blood flow, along with removal of any cysts or masses that contributed to the torsion."
Vaginal Yeast Infection,"Itching and irritation in the vagina and vulva, redness and swelling of the vulva, white, thick, clumpy vaginal discharge (resembling cottage cheese), burning sensation during urination, pain during sexual intercourse, rash or soreness in the affected area","Treatment typically involves antifungal medication, such as topical creams, ointments, or suppositories, as well as oral antifungal medication in some cases. It's also important to address any underlying factors that may contribute to recurrent yeast infections."
Mastoiditis,"Ear pain (particularly behind the ear), swelling and redness of the ear or the area behind the ear, fever, headache, hearing loss or impaired hearing, drainage of fluid or pus from the ear, earache, irritability (in infants and young children), tenderness or pain when touching the area, mastoid bone protrusion or swelling","Treatment usually involves antibiotics to clear the infection, along with pain relievers to manage discomfort. In some cases, surgical drainage of the mastoid bone may be necessary."
Lung Contusion,"Chest pain (sharp or dull), difficulty breathing or shortness of breath, rapid or shallow breathing, coughing up blood or pink-tinged sputum, decreased oxygen levels, wheezing, cyanosis (bluish discoloration of the skin), chest wall bruising, rib fractures (associated injuries)","Treatment focuses on supportive care to manage symptoms and promote healing. This may include pain medication, supplemental oxygen therapy, respiratory support (such as mechanical ventilation), and monitoring for complications (such as pneumonia or respiratory failure)."
Hypertrophic Obstructive Cardiomyopathy (HOCM),"Shortness of breath, especially during physical activity or exertion, chest pain or discomfort, dizziness or lightheadedness, fainting or near-fainting episodes, heart palpitations (rapid or irregular heartbeat), fatigue, swelling in the ankles, feet, or legs","Treatment aims to relieve symptoms, prevent complications, and reduce the risk of sudden cardiac death. Options may include medications (such as beta-blockers, calcium channel blockers, or antiarrhythmic drugs), surgical procedures (such as septal myectomy or alcohol septal ablation), and implantation of a pacemaker or defibrillator."
Pulmonary Eosinophilia,"Cough, shortness of breath, wheezing, chest pain, fever, night sweats, fatigue, weight loss, elevated eosinophil count in the blood or sputum","Treatment depends on the underlying cause. Options may include medications to reduce inflammation (such as corticosteroids), antibiotics or antiparasitic drugs if an infection is present, and avoidance of triggers (such as allergens or certain medications)."
Corneal Disorder,"Blurred or hazy vision, eye pain or discomfort, redness or irritation of the eye, excessive tearing, sensitivity to light (photophobia), foreign body sensation, dryness or excessive tearing, corneal abrasions or ulcers, distorted or irregular corneal shape, vision loss","Treatment depends on the specific disorder and may include lubricating eye drops, antibiotics or antiviral medication for infections, corticosteroid eye drops to reduce inflammation, and in severe cases, surgical procedures such as corneal transplantation."
Foreign Body in the Gastrointestinal Tract,"Abdominal pain or discomfort, difficulty swallowing, choking or gagging, drooling, nausea or vomiting, loss of appetite, chest pain or pressure, respiratory distress, coughing or wheezing, gastrointestinal bleeding, bowel obstruction, perforation of the digestive tract","Treatment depends on the location and nature of the foreign body. In some cases, it may pass through the digestive tract naturally. Other options include endoscopic removal, surgical intervention, or supportive care to manage complications such as infection or obstruction."
Endophthalmitis,"Eye pain, redness, swelling, blurred vision, decreased vision, floaters (dark spots or cobwebs in the vision), increased sensitivity to light (photophobia), discharge from the eye, excessive tearing, fever","Treatment typically involves urgent administration of intravitreal antibiotics or antifungal medications, along with systemic antibiotics or antifungals. In severe cases, surgical intervention such as vitrectomy may be necessary to remove infected tissue and preserve vision."
Achalasia,Difficulty swallowing,"Treatment may include lifestyle modifications (such as eating smaller, more frequent meals), dietary changes (such as avoiding foods that trigger symptoms), medication to relax the lower esophageal sphincter, pneumatic dilation (stretching) of the esophagus, botulinum toxin injection, or surgical procedures (such as laparoscopic Heller myotomy) to improve esophageal function."
Conductive Hearing Loss,"Reduced hearing sensitivity, muffled or blocked sound","Treatment depends on the underlying cause of the hearing loss. Options may include medical management (such as treatment of ear infections or removal of earwax), hearing aids or assistive devices, and in some cases, surgical procedures (such as tympanoplasty or stapedectomy) to repair damaged structures in the middle ear."
Abdominal Hernia,"Visible bulge or swelling, discomfort or pain","Treatment typically involves surgery to repair the hernia and prevent complications such as incarceration or strangulation. In some cases, especially with small or asymptomatic hernias, watchful waiting may be appropriate."
Marijuana Abuse,"Impaired memory and cognition, altered judgment, anxiety","Treatment may involve therapy, support groups, counseling, and in some cases, medication to manage withdrawal symptoms and cravings."
Cryptococcosis,"Headache, fever, fatigue, cough, meningitis, pneumonia","Treatment depends on the severity and location of the infection. Options may include antifungal medications (such as amphotericin B or fluconazole), along with supportive care to manage symptoms and complications."
Obesity,"Excessive body weight, increased risk of chronic conditions","Treatment may involve lifestyle modifications (such as diet and exercise), behavioral therapy, medications (such as appetite suppressants or drugs that reduce fat absorption), and in some cases, bariatric surgery."
Indigestion,"Abdominal pain, bloating, heartburn, nausea, acidic taste","Treatment may involve lifestyle changes (such as dietary modifications and stress reduction), medications (such as antacids, H2 blockers, or proton pump inhibitors), and in some cases, treatment of underlying conditions that contribute to indigestion."
Bursitis,"Joint pain, swelling, tenderness, limited range of motion","Treatment may include rest, ice, compression, and elevation (RICE therapy), along with nonsteroidal anti-inflammatory drugs (NSAIDs), physical therapy, corticosteroid injections, and in some cases, aspiration of excess fluid from the bursa."
Esophageal Cancer,"Difficulty swallowing, unintentional weight loss, chest pain, hoarseness","Treatment depends on the stage and location of the cancer. Options may include surgery, chemotherapy, radiation therapy, targeted therapy, and immunotherapy, as well as palliative care to manage symptoms and improve quality of life."
Pulmonary Congestion,"Shortness of breath, cough, wheezing, fatigue, chest discomfort or tightness","Treatment focuses on addressing the underlying cause, such as heart failure or lung disease. Options may include diuretics (to reduce fluid buildup), oxygen therapy, medications (such as bronchodilators or corticosteroids), and lifestyle modifications (such as quitting smoking and avoiding triggers)."
